#星期,30小时制,分钟,泰国播放时间,泰国id,LINE id,KKTV id,KKTV ss,集数差,时间差,名称
#1-7,6-30,0-59,,,,,,泰-KKTV,泰-KKTV,注：开头为#表示注释，星期为0表示每次都会运行检查

#,,,,,,,,,,2023/10 KKTV
5,22,30,五 2230,2090295,15306,06001673,1,0,0,葬送的芙莉莲
6,25,30,日 0130,2090761,15376,06001665,1,0,0,狩龙人拉格纳
7,17,0,日 1700,2089932,15421,06001674,1,0,0,香格里拉边境~粪作猎人向神作游戏发起挑战~

#,,,,,,,,,,2023/01 KKTV
#0,0,0,未知,0,15671,0,1,0,0,輪迴七次的惡役千金， 在前敵國享受隨心所欲的新婚生活
#0,0,0,未知,0,15744,0,1,0,0,歡迎來到實力至上主義的教室 第三季
#0,0,0,未知,2097863,15727,0,1,0,0,我独自升级
4,24,30,五 0030,2095811,15670,0,1,0,0,秒杀外挂太强了，异世界的傢伙们根本就不是对手
5,20,30,五 2030,2096149,15668,0,1,0,0,佐佐木大叔和小哔
5,21,0,五 2100,2096429,15672,0,1,0,0,非自愿的不死冒险者
5,23,30,五 2330,2095912,15667,0,1,0,0,治愈魔法的错误使用方式
6,21,30,六 2130,2095969,15669,0,1,0,0,指尖相触，恋恋不捨
6,25,0,日 0100,2096556,15747,0,1,0,0,青之驱魔师 岛根启明结社篇
4,23,0,四 23:00,2096950,15745,0,1,0,0,魔都精兵的奴隶

#0,0,0,未知,0,0,0,1,0,0,


#3,20,30,三 2030,2097389,,,1,0,0,弱势角色友崎君 第二季
#3,21,30,01/10 三 2130,2097526,,,1,0,0,外科医生爱丽丝
#3,24,0,01/11 四 0000,2098363,,,1,0,0,樱桃魔法！～到了30岁还是处男，似乎就会成为魔法师〜
#3,24,55,01/11 四 0055,2095613,,,1,0,0,金属口红
#4,25,30,01/12 五 0130,2096070,,,1,0,0,福星小子 第二季
#5,25,53,六 0153,2097690,,,1,0,0,碰之道
#6,21,0,六 2100,2098042,,,1,0,0,婚戒物语
#6,25,30,日 0130,2098275,,,1,0,0,最强坦克的迷宫攻略
#6,25,30,日 0130,2097299,,,1,0,0,我内心危险的东西2
#7,22,30,日 2230,2095663,,,1,0,0,因为不是命中注定的伙伴而被逐出勇者队伍，从此到边境过上了悠闲的隐居生活 第二季
#0,0,0,未知,2098427,,,1,0,0,反派大小姐等级99～我是隐藏BOSS但不是魔王～
#0,0,0,未知,2098140,,,1,0,0,愚蠢天使与恶魔共舞
#0,0,0,未知,2097987,,,1,0,0,月光下的异世界之旅 第二季
#0,0,0,未知,2097804,,,1,0,0,王者天下 第五季
#0,0,0,未知,2097613,,,1,0,0,百千家的妖怪王子
#0,0,0,未知,2097469,,,1,0,0,魔女与野兽
