BG id,网站,id,集数差,时间差,繁中名称,简中名称
#2024,夏番,,BG-网站,BG-网站,注：开头为#表示注释,
2104310,iqiyi,z2kgzxx3xl,0,0,關於我轉生變成史萊姆這檔事 第3季,
2106937,kktv,06001821/07,0,0,我的英雄學院 第七季,
2080019,,,0,0,【我推的孩子】第二季,
#2110277,kktv,06001918/02,0,0,這是妳與我的最後戰場，或是開創世界的聖戰 第二季,
2109463,bilibili,,0,0,ATRI -My Dear Moments-,亚托莉 -我挚爱的时光-
2111784,catchplay,,0,0,新人大叔冒險者，被最強隊伍操到死成無敵,
2111677,catchplay,,0,0,靠廢柴技能【狀態異常】成為最強的我將蹂躪一切,
2112427,catchplay,,0,0,精靈小姐瘦不了,
2111356,catchplay,,0,0,從路人角色開始的探索英雄譚,
2112079,catchplay,,0,0,異世界悠閒紀行～邊養娃邊當冒險者～,
2108217,iqiyi,m7qtiogxat,0,0,2.5次元的誘惑,
2112349,iqiyi,20qa68wokup,0,0,Fairy Tail 魔導少年 百年任務,
2111844,,,0,0,我要【招架】一切〜反誤解的世界最強想成為冒險家〜,
2114594,,,0,0,前辈是男孩子,

#2024,秋番,,BG-网站,BG-网站,,
2115522,,,0,0,,悲喜渔生

2115356,catchplay,,0,0,魔王陛下RETRYRS02,重来吧，魔王大人！R
2114333,catchplay,,0,0,膽大黨,超自然武装当哒当
2114333,iqiyi,115u6ibs611,0,0,膽大黨,超自然武装当哒当
2116038,catchplay,,0,0,嘆氣的亡靈想隱退,叹气的亡灵好想隐退
2115664,catchplay,,0,0,最狂輔助職業話術士世界最強戰團聽我號令,最狂辅助职业【话术士】世界最强战团听我号令
2115664,iqiyi,12dsdm04mft,0,0,最狂輔助職業【話術士】世界最強戰團聽我號令,最狂辅助职业【话术士】世界最强战团听我号令
#2116759,viu,,0,0,在地下城尋求邂逅是否搞錯了什麼 第五季,在地下城寻求邂逅是否搞错了什么 第五季
2114391,catchplay,,0,0,Re從零開始的異世界生活S03,Re：从零开始的异世界生活 第三季
2114391,iqiyi,15uhkad3vv5,0,0,Re：從零開始的異世界生活 第三季,Re：从零开始的异世界生活 第三季
2116509,catchplay,,0,0,刀劍神域外傳GunGaleOnlineS02,刀剑神域外传 Gun Gale Online 第二季
#,iqiyi,y8fmsstwu1,0,0,青之驅魔師 雪之盡頭篇,
#,catchplay,,0,0,凍牌地下麻將鬥牌錄,
#2116570,catchplay,16696,0,0,再見龍生你好人生,再见龙生，你好人生
2116670,kktv,06001980,0,0,結緣甘神神社,缘结甘神家
2115457,iqiyi,1lc1birrfwt,0,0,精靈幻想記2,精灵幻想记 第二季

2115894,linetv,16664,0,0,魔王2099,魔王2099
#2116452,linetv,16666,0,0,孤單一人的異世界攻略,独⾃⼀⼈的异世界攻略
2115780,linetv,16669,0,0,轉生貴族憑鑑定技能扭轉人生 第二季,贵族凭鉴定技能扭转人生 第二季
2115714,linetv,16670,0,0,BLEACH 死神 千年血戰篇-相剋譚-,死神 千年血战篇 相克谭
#,linetv,16672,0,0,燃油車鬥魂 第二季,
2116217,linetv,16674,0,0,平凡職業造就世界最強 第三季,平凡职业造就世界最强 第三季
2118294,linetv,16675,0,0,去參加聯誼，卻發現完全沒有女生在場,到了联谊会上发现连一个女生都没有
2118373,linetv,16676,0,0,妻子變成小學生。,妻子变成小学生。
2118497,linetv,16677,0,0,妖怪學校的菜鳥老師,妖怪学校的新人教师
2118081,linetv,16679,0,0,藍色監獄 VS. U-20 日本代表隊,蓝色监狱 第二季
#,linetv,16680,0,0,女僕冥土小姐,
#,linetv,16681,0,0,噗妮露是可愛史萊姆,
#,linetv,16688,0,0,當不成魔法師的女孩,
2118206,linetv,16689,0,0,被逐出隊伍的治癒師，其實是最強,被队伍驱逐的治愈师，其实是最强的
#,linetv,16697,0,0,轉生成貓咪的大叔,
#,linetv,16698,0,0,Acro Trip 頂尖惡路,
#,linetv,16699,0,0,百姓貴族 2nd Season,
#,linetv,16707,0,0,Love Live! Superstar!! 第三季,
2116146,linetv,16709,0,0,香格里拉・開拓異境～糞作獵手挑戰神作～第二季,香格里拉·开拓异境～粪作猎手挑战神作～ 第二季
#,linetv,16717,0,0,一兆遊戲,
#,linetv,16718,0,0,尋神的旅途,
#,linetv,,0,0,,
#,linetv,,0,0,,
#,linetv,,0,0,,
2116309,,,0,0,,唯愿来世不相识
2116889,,,0,0,,机械臂
2105997,,,0,0,,鸭乃桥论的禁忌推理 第2季
2117727,,,0,0,,食草老龙被冠以恶龙之名 第二季
#,,,0,0,,
